,test_percentage,folds,softmax_reg_l1,softmax_reg_l2,softmax_reg_elastic,reg_l1_withoutSepalWidth,reg_l2_withoutSepalWidth,reg_elastic_withoutSepalWidth
0,0.2,2,"{'C': 8.5, 'solver': 'saga'}","{'C': 31.0, 'solver': 'newton-cg'}","{'C': 8.5, 'l1_ratio': 1.0}","{'C': 10.5, 'solver': 'saga'}","{'C': 21.5, 'solver': 'newton-cg'}","{'C': 10.5, 'l1_ratio': 1.0}"
1,0.2,3,"{'C': 5.0, 'solver': 'saga'}","{'C': 10.5, 'solver': 'lbfgs'}","{'C': 5.5, 'l1_ratio': 0.8}","{'C': 3.0, 'solver': 'saga'}","{'C': 14.0, 'solver': 'newton-cg'}","{'C': 5.0, 'l1_ratio': 0.9}"
2,0.2,4,"{'C': 10.0, 'solver': 'saga'}","{'C': 14.0, 'solver': 'newton-cg'}","{'C': 6.5, 'l1_ratio': 0.9}","{'C': 6.0, 'solver': 'saga'}","{'C': 12.5, 'solver': 'lbfgs'}","{'C': 6.0, 'l1_ratio': 1.0}"
3,0.2,5,"{'C': 10.0, 'solver': 'saga'}","{'C': 20.5, 'solver': 'lbfgs'}","{'C': 10.0, 'l1_ratio': 1.0}","{'C': 7.5, 'solver': 'saga'}","{'C': 16.5, 'solver': 'newton-cg'}","{'C': 7.5, 'l1_ratio': 1.0}"
4,0.2,6,"{'C': 9.0, 'solver': 'saga'}","{'C': 20.0, 'solver': 'lbfgs'}","{'C': 9.0, 'l1_ratio': 1.0}","{'C': 8.5, 'solver': 'saga'}","{'C': 20.5, 'solver': 'newton-cg'}","{'C': 8.5, 'l1_ratio': 1.0}"
5,0.2,7,"{'C': 8.5, 'solver': 'saga'}","{'C': 18.5, 'solver': 'lbfgs'}","{'C': 8.5, 'l1_ratio': 1.0}","{'C': 7.5, 'solver': 'saga'}","{'C': 15.0, 'solver': 'newton-cg'}","{'C': 7.5, 'l1_ratio': 1.0}"
6,0.2,8,"{'C': 9.5, 'solver': 'saga'}","{'C': 38.0, 'solver': 'sag'}","{'C': 9.5, 'l1_ratio': 1.0}","{'C': 9.5, 'solver': 'saga'}","{'C': 49.0, 'solver': 'sag'}","{'C': 9.5, 'l1_ratio': 1.0}"
7,0.2,9,"{'C': 8.5, 'solver': 'saga'}","{'C': 17.0, 'solver': 'newton-cg'}","{'C': 8.5, 'l1_ratio': 1.0}","{'C': 8.0, 'solver': 'saga'}","{'C': 14.5, 'solver': 'lbfgs'}","{'C': 8.0, 'l1_ratio': 1.0}"
8,0.2,10,"{'C': 9.5, 'solver': 'saga'}","{'C': 43.5, 'solver': 'sag'}","{'C': 9.5, 'l1_ratio': 1.0}","{'C': 8.5, 'solver': 'saga'}","{'C': 10.5, 'solver': 'sag'}","{'C': 8.5, 'l1_ratio': 1.0}"
9,0.3,2,"{'C': 49.5, 'solver': 'saga'}","{'C': 50.0, 'solver': 'sag'}","{'C': 50.0, 'l1_ratio': 1.0}","{'C': 48.0, 'solver': 'saga'}","{'C': 23.5, 'solver': 'lbfgs'}","{'C': 43.0, 'l1_ratio': 1.0}"
10,0.3,3,"{'C': 20.5, 'solver': 'saga'}","{'C': 50.5, 'solver': 'newton-cg'}","{'C': 30.0, 'l1_ratio': 1.0}","{'C': 13.0, 'solver': 'saga'}","{'C': 46.5, 'solver': 'newton-cg'}","{'C': 13.0, 'l1_ratio': 1.0}"
11,0.3,4,"{'C': 24.0, 'solver': 'saga'}","{'C': 50.5, 'solver': 'newton-cg'}","{'C': 24.5, 'l1_ratio': 1.0}","{'C': 7.0, 'solver': 'saga'}","{'C': 19.5, 'solver': 'lbfgs'}","{'C': 7.0, 'l1_ratio': 1.0}"
12,0.3,5,"{'C': 22.5, 'solver': 'saga'}","{'C': 50.5, 'solver': 'newton-cg'}","{'C': 22.5, 'l1_ratio': 1.0}","{'C': 6.5, 'solver': 'saga'}","{'C': 16.5, 'solver': 'lbfgs'}","{'C': 6.5, 'l1_ratio': 1.0}"
