,test_percentage,folds,softmax_reg_l1,softmax_reg_l2,softmax_reg_elastic,reg_l1_withoutSepalWidth,reg_l2_withoutSepalWidth,reg_elastic_withoutSepalWidth
0,0.2,2,"LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=31.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=10.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=21.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=10.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
1,0.2,3,"LogisticRegression(C=5.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=10.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=5.5, l1_ratio=0.8, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=3.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=14.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=5.0, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
2,0.2,4,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=14.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=6.5, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=6.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=12.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=6.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
3,0.2,5,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=20.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=16.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
4,0.2,6,"LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=20.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=20.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
5,0.2,7,"LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=18.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=15.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
6,0.2,8,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=38.0, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=49.0, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
7,0.2,9,"LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=14.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
8,0.2,10,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=43.5, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=10.5, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
9,0.3,2,"LogisticRegression(C=49.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.0, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=50.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=48.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=23.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=43.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
10,0.3,3,"LogisticRegression(C=20.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=30.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=13.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=46.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=13.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
